publisher_name,logo_url,id,created_date,updated_date,created_by_id,is_sample
"Youmex","https://segaretro.org/images/2/26/Youmex_logo.png","69674b960e1409db19685060","2026-01-14T07:53:58.325000","2026-01-14T07:53:58.325000","69608a7242418ff1405e6b87","false"
"Intercontinental Video Ltd.","https://base44.app/api/apps/69608a7242418ff1405e6b86/files/public/69608a7242418ff1405e6b86/39d473eb2_ivl-Copy.png","696749e9fba0a6cee527fb2f","2026-01-14T07:46:49.705000","2026-01-14T07:46:49.705000","69608a7242418ff1405e6b87","false"
"IVL","https://base44.app/api/apps/69608a7242418ff1405e6b86/files/public/69608a7242418ff1405e6b86/21767f237_ivl.png","696749cc5d09f0081cb459ed","2026-01-14T07:46:20.657000","2026-01-14T07:46:20.657000","69608a7242418ff1405e6b87","false"
"Dutamitra","https://base44.app/api/apps/69608a7242418ff1405e6b86/files/public/69608a7242418ff1405e6b86/058556581_dutamit.png","696747f4653e4ae9fe296097","2026-01-14T07:38:28.321000","2026-01-14T07:38:28.321000","69608a7242418ff1405e6b87","false"
"Virgin Records","https://logonoid.com/images/virgin-records-logo.png","6967449c30111b31d0af3c58","2026-01-14T07:24:12.903000","2026-01-14T07:24:12.903000","69608a7242418ff1405e6b87","false"
"Pacific Marketing & Entertainment Group","https://base44.app/api/apps/69608a7242418ff1405e6b86/files/public/69608a7242418ff1405e6b86/1ef759525_sddefault.png","69674449e1fb856b7ba3e1cd","2026-01-14T07:22:49.347000","2026-01-14T07:22:49.347000","69608a7242418ff1405e6b87","false"
"United Home Entertainment","https://wells.ac.th/wp-content/uploads/2013/10/United-Home-Entertainment.png","6967437a110c60a806be4458","2026-01-14T07:19:22.587000","2026-01-14T07:19:22.587000","69608a7242418ff1405e6b87","false"
"CIC Video","https://static.wikitide.net/avidwiki/thumb/a/a3/CIC_Video.svg.png/800px-CIC_Video.svg.png","69674320aff88d727b3d2597","2026-01-14T07:17:52.734000","2026-01-14T07:17:52.734000","69608a7242418ff1405e6b87","false"
"CIC Video (HK)","https://base44.app/api/apps/69608a7242418ff1405e6b86/files/public/69608a7242418ff1405e6b86/6f7c3dcf7_CIC_Video.png","696742fc7f8066dd565e537e","2026-01-14T07:17:16.700000","2026-01-14T07:17:16.700000","69608a7242418ff1405e6b87","false"
"Berjaya HVN SDN. BHD.","https://base44.app/api/apps/69608a7242418ff1405e6b86/files/public/69608a7242418ff1405e6b86/7bb32da3a_L-401887-1339024964-2806.png","69674253307497bd6fb93614","2026-01-14T07:14:27.601000","2026-01-14T07:14:27.601000","69608a7242418ff1405e6b87","false"
"Megastar","https://base44.app/api/apps/69608a7242418ff1405e6b86/files/public/69608a7242418ff1405e6b86/3ed7f8199_megastar-Copy.png","696741c99969d5b6ec814f49","2026-01-14T07:12:09.995000","2026-01-14T07:12:09.995000","69608a7242418ff1405e6b87","false"
"MegaStar","https://base44.app/api/apps/69608a7242418ff1405e6b86/files/public/69608a7242418ff1405e6b86/b2504c762_megastar.png","696741baa4eb65bdb7bbebeb","2026-01-14T07:11:54.547000","2026-01-14T07:11:54.547000","69608a7242418ff1405e6b87","false"
"Magna Vision Inc.","https://base44.app/api/apps/69608a7242418ff1405e6b86/files/public/69608a7242418ff1405e6b86/8255cb2a4_maganavision8.png","69673fd23eb292dd9f8ff14b","2026-01-14T07:03:46.279000","2026-01-14T07:03:46.279000","69608a7242418ff1405e6b87","false"
"Magna Vision Inc","https://base44.app/api/apps/69608a7242418ff1405e6b86/files/public/69608a7242418ff1405e6b86/78979b82d_maganavision58.png","69673fb70f698af139c2ada2","2026-01-14T07:03:19.901000","2026-01-14T07:03:19.901000","69608a7242418ff1405e6b87","false"
"MagnaVision Inc","https://base44.app/api/apps/69608a7242418ff1405e6b86/files/public/69608a7242418ff1405e6b86/d70694e9f_maganavision4.png","69673f92c0e8e6f46ecdb53b","2026-01-14T07:02:42.680000","2026-01-14T07:02:42.680000","69608a7242418ff1405e6b87","false"
"MagnaVision Inc.","https://base44.app/api/apps/69608a7242418ff1405e6b86/files/public/69608a7242418ff1405e6b86/6846081d5_maganavision3.png","69673f6f0a776a6ae24cf56f","2026-01-14T07:02:07.497000","2026-01-14T07:02:07.497000","69608a7242418ff1405e6b87","false"
"Magna Vision Incorporated","https://base44.app/api/apps/69608a7242418ff1405e6b86/files/public/69608a7242418ff1405e6b86/bdb7d0006_maganavision2.png","69673f565a87ad3b3e6c83bf","2026-01-14T07:01:42.656000","2026-01-14T07:01:42.656000","69608a7242418ff1405e6b87","false"
"MagnaVision Incorporated","https://base44.app/api/apps/69608a7242418ff1405e6b86/files/public/69608a7242418ff1405e6b86/63bf92521_maganavision.png","69673f2e1e02b95df6eddb61","2026-01-14T07:01:02.745000","2026-01-14T07:01:02.745000","69608a7242418ff1405e6b87","false"
