date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:01:46	2012/2012	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jan%202026%2004:01:46%20GMT	https://vcdarchive.base44.app/AddRelease	C:/My%20Web%20Sites/vcd%20archive%20website/vcdarchive.base44.app/AddRelease.html	(from )
23:01:46	1962/1962	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2015%20Jan%202026%2004:01:46%20GMT	https://vcdarchive.base44.app/	C:/My%20Web%20Sites/vcd%20archive%20website/vcdarchive.base44.app/index.html	(from )
23:01:47	1962/1962	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jan%202026%2004:01:46%20GMT	https://vcdarchive.base44.app/Home	C:/My%20Web%20Sites/vcd%20archive%20website/vcdarchive.base44.app/Home.html	(from )
23:01:47	1992/1992	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jan%202026%2004:01:47%20GMT	https://vcdarchive.base44.app/Admin	C:/My%20Web%20Sites/vcd%20archive%20website/vcdarchive.base44.app/Admin.html	(from )
23:01:47	2028/2028	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jan%202026%2004:01:47%20GMT	https://vcdarchive.base44.app/PublisherLogos	C:/My%20Web%20Sites/vcd%20archive%20website/vcdarchive.base44.app/PublisherLogos.html	(from )
23:01:48	51/51	U--MCZ	200	updated ('OK')	text/plain	date:Thu,%2015%20Jan%202026%2004:01:47%20GMT	https://vcdarchive.base44.app/robots.txt		(from )
23:01:48	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2015%20Jan%202026%2004:01:47%20GMT	https://vcdarchive.base44.app/manifest.json	C:/My%20Web%20Sites/vcd%20archive%20website/vcdarchive.base44.app/manifest.json	(from https://vcdarchive.base44.app/)
23:01:48	635/635	U--MCZ	200	updated ('OK')	application/json	date:Thu,%2015%20Jan%202026%2004:01:48%20GMT	https://vcdarchive.base44.app/api/apps/manifests/69608a7242418ff1405e6b86/manifest.json	C:/My%20Web%20Sites/vcd%20archive%20website/vcdarchive.base44.app/api/apps/manifests/69608a7242418ff1405e6b86/manifest.json	(from https://vcdarchive.base44.app/)
23:01:51	75890/75890	U--MCZ	200	updated ('OK')	text/css	date:Thu,%2015%20Jan%202026%2004:01:48%20GMT	https://vcdarchive.base44.app/assets/index-CcqislPa.css	C:/My%20Web%20Sites/vcd%20archive%20website/vcdarchive.base44.app/assets/index-CcqislPa.css	(from https://vcdarchive.base44.app/)
23:01:51	540512/540512	U--MCZ	200	updated ('OK')	application/javascript	date:Thu,%2015%20Jan%202026%2004:01:48%20GMT	https://vcdarchive.base44.app/assets/index-CAzP-xhi.js	C:/My%20Web%20Sites/vcd%20archive%20website/vcdarchive.base44.app/assets/index-CAzP-xhi.js	(from https://vcdarchive.base44.app/)
23:01:51	5989/5989	U-----	200	untouched ('')	text/javascript	etag:W/%22050736e83e7e3da77be3eb03a922e6dd%22	https://vcdarchive.base44.app/badge.js	C:/My%20Web%20Sites/vcd%20archive%20website/vcdarchive.base44.app/badge.js	(from https://vcdarchive.base44.app/)
23:01:51	227547/227547	U-----	200	untouched ('')	image/jpeg	etag:%22814f1a855bab232e970791e14078825a%22	https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69608a7242418ff1405e6b86/a48a6cb72_nvideocd.jpg	C:/My%20Web%20Sites/vcd%20archive%20website/qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69608a7242418ff1405e6b86/a48a6cb72_nvideocd.jpg	(from https://vcdarchive.base44.app/)
